target,cohort,feature_set,model,config,n_repeats,mean_rmse,std_rmse,mean_mae,mean_r2,mean_improvement_vs_test_mean_pct
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=24,y_transform=none,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=24,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=24,y_transform=log1p,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=24,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=48,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=48,y_transform=none,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=48,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=48,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=48,y_transform=log1p,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=48,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=96,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=96,y_transform=none,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=96,y_transform=none,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=96,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=96,y_transform=log1p,x_transform=none",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=96,y_transform=log1p,x_transform=l2",10,0.72265406,0.25167982,0.43332353,-0.57187534,-8.3665058
glucose_gL,all_known,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=none",10,0.72763864,0.12330002,0.42999645,-0.38488046,-7.2669264
glucose_gL,all_known,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=none",10,0.72763864,0.12330002,0.42999645,-0.38488046,-7.2669264
glucose_gL,all_known,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=48,y_transform=none,x_transform=none",10,0.72763864,0.12330002,0.42999645,-0.38488046,-7.2669264
glucose_gL,all_known,eem_interpretable,knn,"k=3,weighted=True,metric=euclidean,max_features=96,y_transform=none,x_transform=none",10,0.72763864,0.12330002,0.42999645,-0.38488046,-7.2669264
glucose_gL,all_known,eem_interpretable,knn,"k=5,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=none",10,0.73132579,0.12932842,0.41763757,-0.29149884,-5.647505
glucose_gL,all_known,eem_interpretable,knn,"k=5,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=none",10,0.73132579,0.12932842,0.41763757,-0.29149884,-5.647505
glucose_gL,all_known,eem_interpretable,knn,"k=5,weighted=True,metric=euclidean,max_features=48,y_transform=none,x_transform=none",10,0.73132579,0.12932842,0.41763757,-0.29149884,-5.647505
glucose_gL,all_known,eem_interpretable,knn,"k=5,weighted=True,metric=euclidean,max_features=96,y_transform=none,x_transform=none",10,0.73132579,0.12932842,0.41763757,-0.29149884,-5.647505
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=none,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=none,x_transform=sample_center",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=none,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=none,x_transform=none",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=none,x_transform=sample_center",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=none,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=none,x_transform=l2",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=12,y_transform=log1p,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=log1p,x_transform=sample_center",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=12,y_transform=log1p,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=log1p,x_transform=none",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=log1p,x_transform=sample_center",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=log1p,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=12,y_transform=log1p,x_transform=l2",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=none,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=24,y_transform=none,x_transform=sample_center",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=cosine,max_features=24,y_transform=none,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=24,y_transform=none,x_transform=none",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=24,y_transform=none,x_transform=sample_center",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=24,y_transform=none,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=correlation,max_features=24,y_transform=none,x_transform=l2",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
glucose_gL,target_focused,eem_interpretable,knn,"k=1,weighted=True,metric=euclidean,max_features=24,y_transform=log1p,x_transform=sample_zscore",10,0.73248503,0.26273047,0.44632353,-0.62673595,-10.843631
